시군구,번지,단지명,전용면적,거래금액
서울특별시 강남구 개포동,655-2,개포2차현대아파트(220),77.75,"149,500"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,79.97,"162,750"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,79.97,"160,000"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,79.97,"150,000"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,67.28,"120,000"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,79.97,"169,800"
서울특별시 강남구 개포동,658-1,개포6차우성아파트1동~8동,79.97,"178,000"
서울특별시 강남구 개포동,652,개포우성3차,161,"268,500"
서울특별시 강남구 개포동,652,개포우성3차,161,"270,000"
서울특별시 강남구 개포동,652,개포우성3차,104.43,"195,500"
서울특별시 강남구 개포동,652,개포우성3차,161,"280,000"
서울특별시 강남구 개포동,12-2,개포자이(12-2),153.8,"252,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"189,000"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"167,500"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"185,000"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"180,000"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"172,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"200,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"190,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"220,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"215,000"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"190,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"205,000"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"189,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"210,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"215,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"220,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"222,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"209,500"
서울특별시 강남구 개포동,187,개포주공 5단지,61.19,"193,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"230,000"
서울특별시 강남구 개포동,187,개포주공 5단지,53.98,"184,000"
서울특별시 강남구 개포동,187,개포주공 5단지,53.98,"184,000"
서울특별시 강남구 개포동,187,개포주공 5단지,83.17,"230,000"
서울특별시 강남구 개포동,187,개포주공 5단지,74.25,"215,000"
서울특별시 강남구 개포동,185,개포주공 6단지,60.13,"165,000"
서울특별시 강남구 개포동,185,개포주공 6단지,60.13,"171,500"
서울특별시 강남구 개포동,185,개포주공 6단지,73.02,"180,000"
서울특별시 강남구 개포동,185,개포주공 6단지,83.21,"205,000"
서울특별시 강남구 개포동,185,개포주공 6단지,73.02,"193,000"
서울특별시 강남구 개포동,185,개포주공 6단지,83.21,"210,000"
서울특별시 강남구 개포동,185,개포주공 6단지,53.06,"77,500"
서울특별시 강남구 개포동,185,개포주공 6단지,53.06,"163,000"
