역명,구주소
청량리,서울 동대문구 왕산로 328-1
제기동,서울 동대문구 제기동 지하51번지
신설동,서울 동대문구 신설동 97-75
동묘앞,서울 종로구 숭인동 117번지
동대문,서울 종로구 창신1동 552
종로5가,서울 종로구 종로5가 124-8
종로3가,서울종로구 탑골공원길3
종각,서울 종로구 종로1가 44번지
시청,서울 중구 태평로1가 31
서울역,서울 중구 봉래동2가 122
시청,서울 중구 서소문동 27
을지로입구,서울 중구 을지로1가 89-1
을지로3가,서울 중구 을지로3가 70-1
을지로4가,서울 중구 을지로4가 261-1
동대문역사문화공원,서울 중구 을지로7가 1
신당,서울 중구 신당5동 106-1
상왕십리,서울 성동구 하왕십리2동 946-14
왕십리,서울 성동구 행당1동 246
한양대,서울 성동구 행당동 산 17
뚝섬,서울 성동구 성수1가2동 656-745
성수,서울 성동구 성수2가 3동 300-1
건대입구,서울 광진구 구의로 231
구의,서울 광진구 구의동 245-24
강변,서울 광진구 구의3동 546-6
잠실나루,서울 송파구 신천동 1번지
잠실,서울 송파구 잠실동 27
신천,서울 송파구 잠실본동 5
종합운동장,서울 송파구 잠실동 1-236
삼성,서울 강남구 삼성동 172-82
선릉,서울 강남구 삼성2동 143-42
역삼,서울 강남구 역삼1동 737
강남,서울 강남구 역삼동 821-1
교대,서울 서초구 서초1동 1715-9
서초,서울 서초구 서초3동 1500
방배,서울 서초구 방배동 225
사당,서울 동작구 사당1동 1112번지
낙성대,서울 관악구 봉천6동 1693-38
서울대입구,서울 관악구 봉천6동 979-1
봉천,서울 관악구 봉천8동 930-45
신림,서울 관악구 신림본동 1640-1
신대방,서울 동작구 신대방1동 643-1
구로디지털단지,서울 구로구 구로3동 125-66
대림,서울 구로구 구로6동 125-66
신도림,서울 구로구 신도림동 460-26
문래,서울 영등포구 문래동 3가 54
영등포구청,서울 영등포구 당산동 3가 385
당산,서울 영등포구 당산동 5가 323-1
합정,서울 마포구 서교동 393
홍대입구,서울 마포구 동교동 165
신촌,서울 마포구 노고산동 31-11
이대,서울 마포구 대흥동 2
아현,서울특별시 마포구 신촌로 지하60
충정로,서울 서대문구 충정로 3가 295-60
용답,서울 성동구 용답동 127
신답,서울 성동구 용답동 128
용두,서울 동대문구 신설동 97-75
신설동,서울 구로구 신도림동 271-62
도림천,서울 양천구 신정7동 165-1
양천구청,서울 양천구 신정3동 1231
신정네거리,서울시 동대문구 용두동 47-1
까치산,서울특별시 강서구 화곡동 662-5
지축,경기도 고양시 덕양구 지축동 695-8
구파발,서울시 은평구 진관동 69-9번지
연신내,서울특별시 은평구 갈현동 439
불광,서울특별시 은평구 불광동 281
녹번,서울특별시 은평구 녹번동 48
홍제,서울특별시 서대문구 홍제동 330-66
무악재,서울특별시 서대문구 홍제2동 26-1
독립문,서울특별시 서대문구 현저동 101
경복궁,서울시 종로구 사직로 49
안국,서울특별시 종로구 안국동 148
종로3가,서울특별시 종로구 묘동 59
을지로3가,서울특별시 중구 을지로3가 118
충무로,서울특별시 중구 충무로4가 125
동대입구,서울특별시 중구 장충동2가 189-2
약수,서울시 중구 신당3동 369-44
금호,서울특별시 성동구 금호동4가 1470
옥수,서울특별시 성동구 옥수동 168-1
압구정,서울특별시 강남구 압구정동 668
신사,서울특별시 강남구 신사동 501
잠원,서울특별시 서초구 잠원동 65-17
고속터미널,서울특별시 서초구 반포4동 19-4
교대,서울특별시 서초구 서초3동 1715-9
남부터미널,서울특별시 서초구 서초3동 1446-1
양재,서울특별시 서초구 양재1동 산 27-2
매봉,서울특별시 강남구 도곡2동 464-1
도곡,서울특별시 강남구 도곡2동 467-5
대치,서울특별시 강남구 대치2동 509
학여울,서울특별시 강남구 대치동 514
대청,서울특별시 강남구 개포동 18-10
일원,서울특별시 강남구 일원본동 214
수서,서울특별시 강남구 수서동 439-2
가락시장,서울특별시 송파구 가락동 184-23
경찰병원,서울특별시 송파구 가락동 10-15
오금,서울특별시 송파구 오금동 44-2
당고개,서울특별시 노원구 상계4동 111
상계,서울특별시 노원구 상계5동 173
노원,서울특별시 노원구 상계2동 335
창동,서울특별시 도봉구 창4동 135
쌍문,서울특별시 도봉구 창1동 659-12
수유,서울특별시 강북구 수유3동 140
미아,서울특별시 강북구 미아3동 197-14
미아사거리,서울특별시 강북구 미아4동 71-5
길음,서울특별시 성북구 길음1동 877-66
성신여대입구,서울특별시 성북구 동선동 4가 1
한성대입구,서울특별시 성북구 삼선동 1가 14
혜화,서울특별시 종로구 명륜동 4가 1
동대문,서울특별시 종로구 종로6가 69
동대문역사문화공원,서울특별시 중구 광희동1가 194
충무로,서울특별시 중구 충무로4가 125
명동,서울특별시 중구 충무로1가 64
회현,서울특별시 중구 남창동 46
서울역,서울특별시 용산구 동자동 14
숙대입구,서울특별시 용산구 갈월동 101
삼각지,서울특별시 용산구 한강로1가 293
신용산,서울특별시 용산구 한강로2가 181
이촌,서울특별시 용산구 용산동5가 17
동작,서울특별시 동작구 동작동 121-5
총신대입구,서울특별시 동작구 동작대로 390
사당,서울특별시 동작구 사당1동 1112
남태령,서울특별시 서초구 방배2동 2909
